task,id,trial,payoff_sure,payoff_risky,prob,choice,rt,pos
gamble,62,1,500,2340,0.5,risky,2.5234377199994924,rs
gamble,62,2,500,1150,0.4,risky,2.472479542000656,sr
gamble,62,3,500,1890,0.3,risky,2.2970507190002536,sr
gamble,62,4,500,1080,0.5,risky,2.175374402999296,rs
gamble,62,5,500,3010,0.3,risky,2.106591155999922,rs
gamble,62,6,500,1060,0.4,sure,3.4331992070001434,sr
gamble,62,7,500,830,0.4,sure,3.2824097220000112,rs
gamble,62,8,500,7290,0.3,risky,1.9371850440002163,rs
gamble,62,9,500,1340,0.3,sure,3.254598545998306,rs
gamble,62,10,500,760,0.5,sure,4.183055643999978,rs
gamble,62,11,500,2260,0.4,risky,2.769786748001934,sr
gamble,62,12,500,920,0.4,sure,2.2303351369992015,sr
gamble,62,13,500,1250,0.4,risky,1.9984943730014493,sr
gamble,62,14,500,1270,0.5,risky,2.1777467079991766,rs
gamble,62,15,500,2020,0.5,risky,1.9155247999988205,rs
gamble,62,16,500,1220,0.3,sure,3.2819028119993163,rs
gamble,62,17,500,1530,0.4,risky,2.720657443998789,sr
gamble,62,18,500,2180,0.3,risky,2.9665494639993994,rs
gamble,62,19,500,1720,0.4,risky,2.609795913002017,rs
gamble,62,20,500,1570,0.5,risky,1.500115241000458,rs
gamble,62,21,500,970,0.3,sure,2.898069567003404,rs
gamble,62,22,500,1410,0.5,risky,1.7763393970017205,rs
gamble,62,23,500,1490,0.3,sure,1.4351742170001671,rs
gamble,62,24,500,1960,0.4,risky,1.9081917100011196,sr
gamble,62,25,500,700,1.0,risky,1.7066725099975883,rs
gamble,62,26,500,3840,0.4,risky,1.4814487090006878,rs
gamble,62,27,500,1380,0.4,risky,4.399354945002415,rs
gamble,62,28,500,5650,0.3,risky,2.098386413999833,rs
gamble,62,29,500,840,0.5,sure,1.6323002239987545,rs
gamble,62,30,500,730,0.5,sure,1.7459109650008031,sr
gamble,62,31,500,1670,0.3,risky,3.3098794520010415,sr
gamble,62,32,500,300,1.0,sure,2.0604204920018674,sr
gamble,62,33,500,2650,0.4,risky,2.507123658000637,sr
gamble,62,34,500,3160,0.4,risky,1.401071887001308,sr
gamble,62,35,500,1120,0.3,sure,1.3466866519993346,sr
gamble,62,36,500,800,0.5,sure,1.632072265001625,rs
gamble,62,37,500,880,0.5,sure,3.5685574739982258,sr
gamble,62,38,500,1000,0.5,sure,1.9727881030012213,rs
gamble,62,39,500,2540,0.3,risky,2.440355996001017,rs
gamble,62,40,500,870,0.4,sure,1.9446214960007637,sr
gamble,62,41,500,940,0.5,sure,1.7579435109983024,rs
gamble,62,42,500,3640,0.3,risky,2.6811481160002586,rs
gamble,62,43,500,4480,0.3,risky,2.5130521999999473,sr
gamble,62,44,500,1770,0.5,risky,3.5344421430017974,rs
gamble,62,45,500,1040,0.3,sure,3.298740968999482,rs
gamble,62,46,500,1170,0.5,risky,2.705694025997218,rs
gamble,62,47,500,990,0.4,sure,2.4882396519969916,sr
