task,id,trial,order,ori_mean,ori_var,judge,answer,result,judge_rt,line_pos,payoff_solo,payoff_jitter,payoff_group,choice,choice_rt,option_pos,rating,rating_rt,rating_init,rating_history,iti
group,19,1,post,-3,64,clockwise,anticlockwise,wrong,1.344818382000085,ca,940,-10,500,solo,0.9134951900005035,sg,4.0,2.051124367000739,3,"[(3, 0.0003823039996859734), (4, 1.7321045460003006), (4, 2.051797558000544)]",0.5506228442041456
group,19,2,post,-3,16,anticlockwise,anticlockwise,correct,0.8252122029998645,ca,700,-10,500,solo,0.7350880370004234,sg,3.0,2.2959495160002916,4,"[(4, 0.0005476829992403509), (3, 2.0410906850001993), (3, 2.296843469000123)]",0.46840054868842684
group,19,3,post,3,32,clockwise,clockwise,correct,1.267234408999684,ac,700,-10,500,group,1.0315978859998722,sg,3.0,1.7477623209997546,4,"[(4, 0.00048022600003605476), (3, 1.476580358999854), (3, 1.7486010510001506)]",0.4945367505617593
group,19,4,post,3,16,anticlockwise,clockwise,wrong,1.3807267059992228,ca,700,-10,500,solo,0.932782417999988,gs,4.0,2.5647898469997017,6,"[(6, 0.0004786449999301112), (5, 1.926057803000731), (4, 2.1181587870005387), (4, 2.565984564000246)]",0.4988343013859371
group,19,5,post,-3,8,clockwise,anticlockwise,wrong,0.7744119720000526,ca,850,-10,500,solo,0.7825976370004355,gs,4.0,1.9413359200007108,1,"[(1, 0.00047914799961290555), (2, 0.8543867230000615), (3, 1.014372244999322), (4, 1.5904240390000268), (4, 1.9421039689996178)]",0.48543074697578487
group,19,6,pre,3,16,clockwise,clockwise,correct,0.8853009779995773,ca,770,-10,500,solo,5.4316984810002396,gs,5.0,2.8236441740000373,1,"[(1, 0.0004910529996777768), (2, 1.880754148000051), (3, 2.0406415319994267), (4, 2.1845075109995378), (5, 2.584602633999566), (5, 2.8245612589998927)]",0.5296356088445162
group,19,7,post,-3,32,anticlockwise,anticlockwise,correct,0.7952200270001413,ac,1270,10,500,solo,0.785320990999935,sg,4.0,1.7037575099993774,5,"[(5, 0.00047908299984555924), (4, 1.3527773360001447), (4, 1.7046338399995875)]",0.5615324964233148
group,19,8,post,3,8,clockwise,clockwise,correct,1.6408952780002437,ac,550,-10,500,solo,1.229617538999264,sg,6.0,1.0748664069997176,6,"[(6, 0.000491787000100885), (6, 1.0756352560001687)]",0.5606595802308134
group,19,9,post,3,64,anticlockwise,clockwise,wrong,1.2144728820003365,ac,940,-10,500,group,0.8045430120000674,sg,2.0,1.9461639670007571,3,"[(3, 0.0004979569994247868), (2, 1.6109103949993369), (2, 1.9469231829998535)]",0.49214049498184975
group,19,10,post,3,32,clockwise,clockwise,correct,0.9492159600004015,ca,940,10,500,group,1.3013624870000058,sg,3.0,1.4160377379994316,6,"[(6, 0.0005430290002550464), (5, 0.4728026470002078), (4, 0.6488592210007482), (3, 0.8728896680004254), (3, 1.4168754890006312)]",0.4668035886322125
group,19,11,pre,3,16,clockwise,clockwise,correct,0.7829958900001657,ca,1150,-10,500,solo,1.7435268889994404,sg,4.0,4.133433449000222,5,"[(5, 0.0004949229996782378), (4, 3.302618332999373), (4, 4.134335633999399)]",0.5400308400127499
group,19,12,post,3,16,clockwise,clockwise,correct,0.9359667910002827,ca,850,-10,500,solo,0.9541158439997162,gs,5.0,2.233320383999853,2,"[(2, 0.0005010889999539359), (3, 1.0341563669999232), (4, 1.194218543999341), (5, 1.610263575999852), (5, 2.234295423999356)]",0.479712759585908
group,19,13,post,3,8,clockwise,clockwise,correct,0.8836273790002451,ac,1400,10,500,solo,0.7919652260006842,sg,6.0,1.6140872469995884,1,"[(1, 0.0004901680003968067), (2, 0.6391485459998876), (3, 0.7829569449995688), (4, 0.9910268449993964), (5, 1.1189027099999294), (6, 1.2309343359993363), (6, 1.6147522549999849)]",0.5717489590780322
group,19,14,post,-3,8,anticlockwise,anticlockwise,correct,0.723419343000387,ac,700,0,500,solo,0.8449809329995333,sg,5.0,1.3132888029995229,3,"[(3, 0.00048296100067091174), (4, 0.91427581500011), (5, 1.042165591000412), (5, 1.3141694370006007)]",0.5335640458776795
group,19,15,post,-3,64,clockwise,anticlockwise,wrong,0.7746828099998311,ca,700,0,500,group,0.9103304919999573,sg,4.0,1.2968440519998694,3,"[(3, 0.0005105340005684411), (4, 1.0420006429994828), (4, 1.2976978179995058)]",0.4155514851372454
group,19,16,post,-3,32,clockwise,anticlockwise,wrong,0.8650287130003562,ac,1040,-10,500,solo,0.85389297599977,sg,3.0,1.1293350759997338,2,"[(2, 0.0004945569999108557), (3, 0.7942633719994774), (3, 1.1302760439994017)]",0.5443718191406772
group,19,17,post,-3,16,clockwise,anticlockwise,wrong,0.7061069499995938,ca,1150,0,500,solo,0.6363963430003423,gs,3.0,1.176773588999822,4,"[(4, 0.0005164740005056956), (3, 0.9057505589998982), (3, 1.1774219440003435)]",0.5271079551050216
group,19,18,post,3,64,clockwise,clockwise,correct,0.7980145040000934,ac,640,-10,500,group,1.2371372410007098,gs,2.0,4.329719806999492,2,"[(2, 0.0005144710003150976), (3, 2.0747181369997634), (4, 2.250670788000207), (3, 3.4665281019997565), (2, 4.0425154929998826), (2, 4.3304820809999)]",0.5705263142701955
group,19,19,post,3,8,clockwise,clockwise,correct,0.8233407979996628,ca,1270,0,500,solo,0.9260135699996681,gs,5.0,1.503118695000012,2,"[(2, 0.0005050590007158462), (3, 0.7199753780005267), (4, 0.8799552620002942), (5, 1.2000872420003361), (5, 1.503884845000357)]",0.4036925347090478
group,19,20,pre,-3,64,clockwise,anticlockwise,wrong,1.5377556229996117,ca,940,10,500,solo,1.3463816770008634,sg,2.0,2.0103004459997464,4,"[(4, 0.0004974780003976775), (3, 1.4831350229997042), (2, 1.691028338000251), (2, 2.0110461449994546)]",0.5494810256062965
group,19,21,post,3,64,clockwise,clockwise,correct,1.0772241140002734,ac,1150,-10,500,solo,0.8164271129999179,gs,4.0,4.021706923000238,4,"[(4, 0.000484086999676947), (5, 2.0068004049999217), (4, 2.502714257999287), (5, 2.8708422079998854), (4, 3.046686677999787), (5, 3.20672955200007), (4, 3.366628615999616), (5, 3.478719643999284), (4, 3.6227418629996464), (4, 4.022498844999973)]",0.4002400587000204
group,19,22,post,-3,64,anticlockwise,anticlockwise,correct,1.112795451999773,ca,590,10,500,solo,1.4267976649998673,sg,2.0,2.1275909639998645,5,"[(5, 0.0004963999999745283), (4, 1.0087172560006366), (3, 1.2166227739999158), (2, 1.6487000130000524), (2, 2.1284103160005543)]",0.589022072400445
group,19,23,post,-3,16,anticlockwise,anticlockwise,correct,0.8836350699994,ca,770,0,500,solo,0.8718069010001273,sg,4.0,1.4187030789998971,3,"[(3, 0.000506401000166079), (4, 1.1156671939997977), (4, 1.419648658999904)]",0.43778131400638454
