task,id,trial,order,ori
group,28,1,1,-12.397756353240453
group,28,1,2,22.152599728729108
group,28,1,3,-27.76951476728474
group,28,1,4,25.825402712833387
group,28,1,5,-11.67015001009186
group,28,1,6,-14.237221785206998
group,28,1,7,-2.2476080306786486
group,28,1,8,7.554917875270178
group,28,1,9,-8.892116120580255
group,28,1,10,-4.235193296322485
group,28,1,11,11.961854022783463
group,28,1,12,18.58972333304623
group,28,1,13,9.061905662643426
group,28,1,14,-9.047908162821074
group,28,1,15,-15.013595923612861
group,28,1,16,26.22268542337916
group,28,1,17,-19.948961265980813
group,28,1,18,-25.82070153797057
group,28,1,19,16.312463858841653
group,28,1,20,27.490968741390333
group,28,1,21,-19.177447570966613
group,28,1,22,-18.135215735774842
group,28,1,23,20.473536268202494
group,28,1,24,-15.270484885919323
group,28,1,25,27.115849808536623
group,28,1,26,-26.12189085419245
group,28,1,27,-22.558189017432966
group,28,1,28,-28.955845993331934
group,28,1,29,-33.366811017127624
group,28,1,30,12.104704892880449
group,28,2,1,9.964273125760286
group,28,2,2,14.706182395675565
group,28,2,3,-4.0321785188188315
group,28,2,4,17.019620078915352
group,28,2,5,-1.7342690429071261
group,28,2,6,-6.6797062535451985
group,28,2,7,17.775854856884557
group,28,2,8,-8.358397646807049
group,28,2,9,-10.066084219231943
group,28,2,10,-9.85515954713329
group,28,2,11,15.658760290438522
group,28,2,12,11.296731946099072
group,28,2,13,10.889541809920143
group,28,2,14,3.2433762101653905
group,28,2,15,12.59720440398561
group,28,2,16,-10.701048661652344
group,28,2,17,3.603412177508325
group,28,2,18,7.219474857721643
group,28,2,19,12.015902051734436
group,28,2,20,-8.76718177237963
group,28,2,21,18.988665232800418
group,28,2,22,-12.735816484291504
group,28,2,23,-0.3408230478003347
group,28,2,24,-11.927812038354102
group,28,2,25,18.944661197102786
group,28,2,26,5.090523683287035
group,28,2,27,10.112562554887376
group,28,2,28,-8.52520637195126
group,28,2,29,-8.655558415989926
group,28,2,30,3.2524951479760347
group,28,3,1,11.501092260112344
group,28,3,2,-33.20206164297491
group,28,3,3,-30.834780362939057
group,28,3,4,0.37862962786552146
group,28,3,5,46.01889656361911
group,28,3,6,9.95551560959936
group,28,3,7,-58.89463187076451
group,28,3,8,-37.827730208795984
group,28,3,9,40.86098857437689
group,28,3,10,49.304007205235735
group,28,3,11,51.25477207457804
group,28,3,12,-21.47424778879673
group,28,3,13,54.91768155417445
group,28,3,14,-42.90707089351626
group,28,3,15,-33.53906930133954
group,28,3,16,50.25319258697472
group,28,3,17,17.888323164158365
group,28,3,18,7.243363741105952
group,28,3,19,-3.1027149986151557
group,28,3,20,-7.541156970201385
group,28,3,21,25.992473566139594
group,28,3,22,-36.95839892271373
group,28,3,23,11.012172203820242
group,28,3,24,20.152416562338402
group,28,3,25,8.694531269608689
group,28,3,26,-34.63674229585982
group,28,3,27,-49.50297262443712
group,28,3,28,-14.168420846619028
group,28,3,29,-36.74799008735518
group,28,3,30,-54.09006774877902
group,28,4,1,16.721634095140566
group,28,4,2,-19.07601406548067
group,28,4,3,-3.9163160691837504
group,28,4,4,2.2980646545190666
group,28,4,5,31.705246984961512
group,28,4,6,-7.232664083644536
group,28,4,7,-18.67951520987993
group,28,4,8,15.748700666277074
group,28,4,9,21.61240575054577
group,28,4,10,14.150417086232729
group,28,4,11,28.935989216464982
group,28,4,12,4.23561215884196
group,28,4,13,18.349442392987818
group,28,4,14,-19.609283122678427
group,28,4,15,-25.686682229931407
group,28,4,16,26.453136040217274
group,28,4,17,4.711622492301238
group,28,4,18,17.650127358733428
group,28,4,19,-16.794978313979584
group,28,4,20,34.94799789595224
group,28,4,21,-9.201327000684593
group,28,4,22,12.34436577058979
group,28,4,23,-21.030468605321055
group,28,4,24,-28.83482158393172
group,28,4,25,5.0841892854175725
group,28,4,26,-23.231157384120785
group,28,4,27,-17.532681768444867
group,28,4,28,3.604039068368593
group,28,4,29,32.44329000155574
group,28,4,30,9.829628518173934
group,28,5,1,-37.557159172044436
group,28,5,2,-46.47542762939375
group,28,5,3,-12.926962144674334
group,28,5,4,-43.12015060096368
group,28,5,5,9.771759215679879
group,28,5,6,-24.138474134384154
group,28,5,7,33.580737294295304
group,28,5,8,54.45679351248951
group,28,5,9,-38.018903624617295
group,28,5,10,-0.22828301334836
group,28,5,11,19.026966777187084
group,28,5,12,-59.66670200637944
group,28,5,13,-48.128971333630986
group,28,5,14,1.3904764193540018
group,28,5,15,-11.442318559718885
group,28,5,16,-25.079687914919305
group,28,5,17,-24.214169337676708
group,28,5,18,18.525595924609036
group,28,5,19,6.1454138995766385
group,28,5,20,-53.59454012972799
group,28,5,21,56.46291934992705
group,28,5,22,44.21046089836855
group,28,5,23,-7.291055762128195
group,28,5,24,42.568282216261636
group,28,5,25,17.41087981372172
group,28,5,26,42.0782227231409
group,28,5,27,-50.246966350969245
group,28,5,28,39.84840976332326
group,28,5,29,31.08491883086056
group,28,5,30,-24.432064924218366
group,28,6,1,0.012018465471516748
group,28,6,2,-0.7424560098380653
group,28,6,3,0.9081466827202433
group,28,6,4,-11.39239077110458
group,28,6,5,5.232762500593974
group,28,6,6,7.345335216654959
group,28,6,7,1.7658521874335449
group,28,6,8,-1.5802162893604326
group,28,6,9,12.965402710848348
group,28,6,10,-2.0383572111347945
group,28,6,11,4.0606999712289955
group,28,6,12,6.460807535942486
group,28,6,13,3.1404988343724867
group,28,6,14,-10.656072590128407
group,28,6,15,-18.787152940601352
group,28,6,16,2.1535312749370945
group,28,6,17,-17.970558841346843
group,28,6,18,7.759375235697668
group,28,6,19,5.7303758208432605
group,28,6,20,-10.656943306018288
group,28,6,21,-18.068945266220396
group,28,6,22,4.9527075178720175
group,28,6,23,-12.423989692757957
group,28,6,24,1.461468232319561
group,28,6,25,-18.505503241114724
group,28,6,26,8.738950236125003
group,28,6,27,-11.301027849895434
group,28,6,28,-12.88895417106459
group,28,6,29,-13.634642579846911
group,28,6,30,-2.040721662628396
group,28,7,1,-10.129529122382234
group,28,7,2,2.622404305693342
group,28,7,3,-5.458372371519255
group,28,7,4,-9.51787321322262
group,28,7,5,-8.857483756891247
group,28,7,6,-2.5931350908637327
group,28,7,7,2.974275795919997
group,28,7,8,0.9352158418165448
group,28,7,9,-6.301614544295731
group,28,7,10,4.949502232554252
group,28,7,11,-0.21748643560702696
group,28,7,12,-2.4182855715696814
group,28,7,13,2.442383736416332
group,28,7,14,-2.600607320370976
group,28,7,15,0.2929782582133651
group,28,7,16,-3.926226877317159
group,28,7,17,-7.008419210411713
group,28,7,18,-10.980709917297027
group,28,7,19,-6.386150103840228
group,28,7,20,-5.994832773353762
group,28,7,21,-4.801385217866649
group,28,7,22,-7.794191399452494
group,28,7,23,1.235177970460386
group,28,7,24,4.8417488544448055
group,28,7,25,2.6247205849168207
group,28,7,26,-6.2738460069691655
group,28,7,27,-3.161604883298672
group,28,7,28,-4.2192609421451
group,28,7,29,-6.857873706255358
group,28,7,30,2.580480884493989
group,28,8,1,3.894334909448494
group,28,8,2,-1.1286160514573105
group,28,8,3,10.193844163060746
group,28,8,4,5.373533862690271
group,28,8,5,-0.009206264615928106
group,28,8,6,4.878373568283276
group,28,8,7,7.17091657082492
group,28,8,8,6.88106192205988
group,28,8,9,3.2512069672118855
group,28,8,10,-4.453817759159502
group,28,8,11,-2.5881610672735924
group,28,8,12,-3.7709141138829683
group,28,8,13,7.241976819420762
group,28,8,14,-0.334788945052944
group,28,8,15,-0.24008937604379277
group,28,8,16,3.236287641013435
group,28,8,17,-4.873034127911319
group,28,8,18,8.999974328774519
group,28,8,19,8.334123890495631
group,28,8,20,-2.019249771807745
group,28,8,21,5.535008005112424
group,28,8,22,1.1615960936915766
group,28,8,23,4.4143195650287055
group,28,8,24,8.632246204264668
group,28,8,25,7.360484501096625
group,28,8,26,0.23085904606937113
group,28,8,27,2.1959993482453086
group,28,8,28,0.7859642246764391
group,28,8,29,7.207803022639309
group,28,8,30,2.4379628230968624
group,28,9,1,57.33361262847647
group,28,9,2,53.2938107195109
group,28,9,3,-58.84359600063266
group,28,9,4,-42.700990590614225
group,28,9,5,-12.422533663241836
group,28,9,6,-1.8473047360581631
group,28,9,7,-2.840358681919554
group,28,9,8,-2.042547668335118
group,28,9,9,32.158123178414755
group,28,9,10,2.4038229517550036
group,28,9,11,-25.596467449470353
group,28,9,12,-37.363968537138206
group,28,9,13,26.044292025867577
group,28,9,14,54.53940652824643
group,28,9,15,12.97116332522225
group,28,9,16,-35.2841119750488
group,28,9,17,-26.922732920014255
group,28,9,18,8.348676135233433
group,28,9,19,-9.854280703365589
group,28,9,20,-5.54303769781977
group,28,9,21,-19.766006039419835
group,28,9,22,40.76757589834868
group,28,9,23,48.97823859772021
group,28,9,24,-24.45327383907376
group,28,9,25,58.606605285973444
group,28,9,26,-19.943789971203884
group,28,9,27,7.91224459205641
group,28,9,28,29.255065662312347
group,28,9,29,12.195236938298265
group,28,9,30,-29.38287399408017
group,28,10,1,-3.5916429609208507
group,28,10,2,19.679628050859648
group,28,10,3,-1.1879692252528713
group,28,10,4,-8.28069225745493
group,28,10,5,-21.905758406632906
group,28,10,6,-2.068299013025772
group,28,10,7,-11.07716625171085
group,28,10,8,27.476271257312625
group,28,10,9,5.035812635984151
group,28,10,10,-15.761307130018324
group,28,10,11,-11.928431971002283
group,28,10,12,-23.585365162230772
group,28,10,13,4.986877446619438
group,28,10,14,12.559503128928476
group,28,10,15,27.77671310771933
group,28,10,16,1.788240702089226
group,28,10,17,23.361087861618458
group,28,10,18,17.836481673373306
group,28,10,19,32.53682663215789
