task,id,trial,order,ori
group_prac,39,1,1,-26.658251815354276
group_prac,39,1,2,-65.53303800589215
group_prac,39,1,3,24.140263743982217
group_prac,39,1,4,60.822447196174494
group_prac,39,1,5,8.770077478316466
group_prac,39,1,6,46.1242281193942
group_prac,39,1,7,7.9401569494801265
group_prac,39,1,8,6.196796549154101
group_prac,39,1,9,-61.60220592148599
group_prac,39,1,10,-3.6005897575005292
group_prac,39,1,11,36.53478535031823
group_prac,39,1,12,-30.022238945157767
group_prac,39,1,13,22.058222673310667
group_prac,39,1,14,32.35660357149291
group_prac,39,1,15,31.652320401210403
group_prac,39,1,16,34.173035287496006
group_prac,39,1,17,-62.22650896649378
group_prac,39,1,18,-40.11668852927835
group_prac,39,1,19,3.9061514635782686
group_prac,39,1,20,-25.086587452910706
group_prac,39,1,21,-27.879681024921595
group_prac,39,1,22,-21.421347041047824
group_prac,39,1,23,-25.671620108417642
group_prac,39,1,24,18.568844904631334
group_prac,39,1,25,14.73449139097346
group_prac,39,1,26,-22.197294967106004
group_prac,39,1,27,39.505403927986876
group_prac,39,1,28,-56.92100685501448
group_prac,39,1,29,-61.390446406481416
group_prac,39,1,30,52.84367678956275
group_prac,39,2,1,32.37184847950031
group_prac,39,2,2,19.387274750178335
group_prac,39,2,3,27.651020627127345
group_prac,39,2,4,34.786214988144884
group_prac,39,2,5,24.91236172621985
group_prac,39,2,6,-4.324516021413743
group_prac,39,2,7,1.2810887191071174
group_prac,39,2,8,33.66673804973956
group_prac,39,2,9,-13.592905904248624
group_prac,39,2,10,13.567736161333002
group_prac,39,2,11,-4.724595795470286
group_prac,39,2,12,-20.4927768754173
group_prac,39,2,13,-7.008367955211725
group_prac,39,2,14,-23.996084529906703
group_prac,39,2,15,32.36109394871477
group_prac,39,2,16,-23.388310031510194
group_prac,39,2,17,-25.266848028221382
group_prac,39,2,18,9.057055423759891
group_prac,39,2,19,-24.620904322926528
group_prac,39,2,20,34.46105699433371
group_prac,39,2,21,-2.3283008756276686
group_prac,39,2,22,10.54468408008944
group_prac,39,2,23,-3.6680686195248953
group_prac,39,2,24,22.499727716953657
group_prac,39,2,25,-15.043680184483392
group_prac,39,2,26,-25.04900670903106
group_prac,39,2,27,-28.958337761232293
group_prac,39,2,28,8.310694034634842
group_prac,39,2,29,34.41904077596132
group_prac,39,2,30,-26.814932861572224
group_prac,39,3,1,-12.846687259578573
group_prac,39,3,2,18.494759340592143
group_prac,39,3,3,-12.32031934350815
group_prac,39,3,4,1.8539890705657989
group_prac,39,3,5,11.333886116736554
group_prac,39,3,6,6.327819531882593
group_prac,39,3,7,7.556948322182958
group_prac,39,3,8,8.135079556787797
group_prac,39,3,9,-1.6471952687558442
group_prac,39,3,10,-0.2906437684380947
group_prac,39,3,11,-10.10992325980689
group_prac,39,3,12,-4.7779485381060915
group_prac,39,3,13,-11.94819689326081
group_prac,39,3,14,-1.4829481621754752
group_prac,39,3,15,0.7181106584321562
group_prac,39,3,16,15.42784976274282
group_prac,39,3,17,-3.137819000982354
group_prac,39,3,18,-6.452421166742649
group_prac,39,3,19,16.892229112486987
group_prac,39,3,20,-12.92548390168431
group_prac,39,3,21,1.7857821334482011
group_prac,39,3,22,8.65773701677243
group_prac,39,3,23,7.29739912299199
group_prac,39,3,24,18.202432450779526
group_prac,39,3,25,18.68960636101396
group_prac,39,3,26,14.089703011104106
group_prac,39,3,27,-3.2177371699082506
group_prac,39,3,28,4.074903037962951
group_prac,39,3,29,-1.8593400787999386
group_prac,39,3,30,13.478429205264458
group_prac,39,4,1,2.276658236611553
group_prac,39,4,2,23.478553681386288
group_prac,39,4,3,21.73276661820482
group_prac,39,4,4,48.974719556506386
group_prac,39,4,5,5.759487345401823
group_prac,39,4,6,-31.900082244373905
group_prac,39,4,7,-43.782745650337475
group_prac,39,4,8,-10.092689599305572
group_prac,39,4,9,-21.449618203384816
group_prac,39,4,10,-24.7655755115439
group_prac,39,4,11,-38.856182080162455
group_prac,39,4,12,36.204024378075005
group_prac,39,4,13,-5.619012292313997
group_prac,39,4,14,11.297342671733901
group_prac,39,4,15,66.67274464055002
group_prac,39,4,16,62.87118295568243
group_prac,39,4,17,65.40196226576509
group_prac,39,4,18,5.765489941896249
group_prac,39,4,19,12.34216509178539
group_prac,39,4,20,12.884321072079217
group_prac,39,4,21,13.085265680374391
group_prac,39,4,22,-51.858705053522414
group_prac,39,4,23,-30.837261021695852
group_prac,39,4,24,5.515408948256095
group_prac,39,4,25,-43.226312753634986
group_prac,39,4,26,-47.91232190350701
group_prac,39,4,27,55.81672858839468
group_prac,39,4,28,6.71574301987458
group_prac,39,4,29,-51.316187326985784
group_prac,39,4,30,34.822128948190255
group_prac,39,5,1,-6.338967919798742
group_prac,39,5,2,-10.015053080231244
group_prac,39,5,3,-4.043035570519679
group_prac,39,5,4,-7.110177234194348
group_prac,39,5,5,-3.9379854714488367
group_prac,39,5,6,-6.521819741187111
group_prac,39,5,7,-2.9040322411253996
group_prac,39,5,8,-1.8043798367802601
group_prac,39,5,9,-7.907892267162962
group_prac,39,5,10,4.48047220732172
group_prac,39,5,11,3.4158467720038637
group_prac,39,5,12,-4.625372754993743
group_prac,39,5,13,-3.2529781694432742
group_prac,39,5,14,1.0244044707372186
group_prac,39,5,15,-1.359299041924876
group_prac,39,5,16,-3.009256855096563
group_prac,39,5,17,-8.688322258109434
group_prac,39,5,18,-1.3429695180212562
group_prac,39,5,19,-2.253535461260533
group_prac,39,5,20,-5.252362789238541
group_prac,39,5,21,-0.9597437250484688
group_prac,39,5,22,-0.5761760184667963
group_prac,39,5,23,-5.264579914602654
group_prac,39,5,24,-10.305684618219379
group_prac,39,5,25,-4.840457546052567
group_prac,39,5,26,-1.6213111077594036
group_prac,39,5,27,3.5967194191887586
group_prac,39,5,28,4.60099932354175
group_prac,39,5,29,-1.540867722407599
group_prac,39,5,30,-1.642181329699648
group_prac,39,6,1,0.9628202302937119
group_prac,39,6,2,-4.700010109472956
group_prac,39,6,3,-13.48741133733014
group_prac,39,6,4,-1.1601387037070445
group_prac,39,6,5,12.24005093069323
group_prac,39,6,6,11.707812020199182
group_prac,39,6,7,3.6293749109357556
group_prac,39,6,8,10.603411609646269
group_prac,39,6,9,3.4217767999190514
group_prac,39,6,10,9.707740140233728
group_prac,39,6,11,5.784438604134177
group_prac,39,6,12,-16.483867969861397
group_prac,39,6,13,-13.383360734262418
group_prac,39,6,14,9.556506704276075
group_prac,39,6,15,-16.94907117155977
group_prac,39,6,16,-7.330165318967353
group_prac,39,6,17,-10.728117478589176
group_prac,39,6,18,-16.039326323562968
group_prac,39,6,19,0.23930374962818135
group_prac,39,6,20,-9.01705389628114
group_prac,39,6,21,-11.475585627776866
group_prac,39,6,22,-16.183292175613442
group_prac,39,6,23,-3.519749256257409
group_prac,39,6,24,2.9797051364918623
group_prac,39,6,25,-10.685393185625468
group_prac,39,6,26,-4.473119071463767
group_prac,39,6,27,4.733841387559515
group_prac,39,6,28,-2.2039074913024272
group_prac,39,6,29,9.692327986799537
group_prac,39,6,30,-17.439540359176544
group_prac,39,7,1,3.6062211362790553
group_prac,39,7,2,-4.734266989607484
group_prac,39,7,3,6.68012963261258
group_prac,39,7,4,3.625521400924331
group_prac,39,7,5,0.25535304129320835
group_prac,39,7,6,4.559523294913623
group_prac,39,7,7,-4.413074046735446
group_prac,39,7,8,6.179979882679037
group_prac,39,7,9,5.038866141409017
group_prac,39,7,10,0.9446227067233348
group_prac,39,7,11,-1.0870975545362889
group_prac,39,7,12,1.4879092253375727
group_prac,39,7,13,7.5198143535620225
group_prac,39,7,14,9.131590105430098
group_prac,39,7,15,0.8629970070589117
group_prac,39,7,16,-0.7248860690232242
group_prac,39,7,17,2.0610399332564366
group_prac,39,7,18,-2.9796116955268825
group_prac,39,7,19,7.66169932651437
group_prac,39,7,20,1.1778631767159915
group_prac,39,7,21,-3.9075519010042505
group_prac,39,7,22,10.846465899217424
group_prac,39,7,23,6.555856066395295
group_prac,39,7,24,-2.9979368386652965
group_prac,39,7,25,7.36833012436915
group_prac,39,7,26,2.8699301469530347
group_prac,39,7,27,6.889302503568356
group_prac,39,7,28,4.784200430898883
group_prac,39,7,29,7.182805860602363
