task,id,trial,order,ori_mean,ori_var,judge,answer,result,judge_rt,line_pos,payoff_solo,payoff_jitter,payoff_group,choice,choice_rt,option_pos,rating,rating_rt,rating_init,rating_history,iti
group,1,1,post,-3,16,anticlockwise,anticlockwise,correct,0.6616537179997977,ac,940,-10,500,solo,0.8170910369999547,gs,5,5.159005241999694,4,"[(4, 0.00035887299964088015), (5, 1.2720192990000214), (5, 5.15994044099989)]",0.5120623925685619
group,1,2,post,3,32,anticlockwise,clockwise,wrong,0.8280427649997364,ac,1040,10,500,solo,0.6100462239992339,gs,4,1.9669941739994101,6,"[(6, 0.0004899539999314584), (5, 0.6880919189998167), (4, 0.9599056349998136), (4, 1.9679089230003228)]",0.5810102974735998
group,1,3,post,3,64,anticlockwise,clockwise,wrong,0.6601982500005761,ac,1270,-10,500,solo,1.2640363359996627,sg,3,3.091780063000442,5,"[(5, 0.00047820600047998596), (4, 0.4528542180005388), (3, 0.676535010000407), (3, 3.0926976509999804)]",0.5747329831628044
group,1,4,pre,-3,32,anticlockwise,anticlockwise,correct,0.6731950260000303,ac,850,10,500,solo,1.6104286750005485,gs,5,3.2773726800005534,1,"[(1, 0.0004865339997195406), (2, 0.9902950890000284), (3, 1.4063894720002281), (4, 1.5822214460004034), (5, 1.7754018650002763), (5, 3.278382239000166)]",0.48504753841784326
group,1,5,post,3,16,clockwise,clockwise,correct,0.8355209600003946,ac,550,-10,500,solo,1.5448644850002893,gs,4,2.064728054000625,5,"[(5, 0.00048001100003602915), (4, 0.6896605009997074), (4, 2.065373169999475)]",0.45420216026859644
group,1,6,post,-3,8,anticlockwise,anticlockwise,correct,0.7542993109991585,ac,770,0,500,solo,1.386581648000174,sg,6,1.2417266080001355,3,"[(3, 0.00047541000003548106), (4, 0.5706492189992787), (5, 0.746622231999936), (6, 0.9386498249996293), (6, 1.242735367000023)]",0.5671201641486217
group,1,7,post,3,8,clockwise,clockwise,correct,0.7691460329997426,ac,940,-10,500,solo,1.064908796999589,gs,6,1.427855508999528,5,"[(5, 0.00047899800028972095), (6, 1.012579320000441), (6, 1.428657555999962)]",0.45272282410712
group,1,8,post,-3,32,clockwise,anticlockwise,wrong,1.7465506230000756,ac,500,-10,500,group,2.3393872960004956,sg,3,1.5961026260001745,1,"[(1, 0.00048665899976185756), (2, 0.46120178300043335), (3, 0.6691544320001412), (3, 1.5971362050004245)]",0.47253724702137384
group,1,9,post,-3,64,anticlockwise,anticlockwise,correct,0.6942759639996439,ac,770,-10,500,solo,0.8963539309997941,sg,4,2.0195411820004665,1,"[(1, 0.0004805429998668842), (2, 0.724534801000118), (3, 0.9645074899999599), (4, 1.636512056000356), (4, 2.0203539989997807)]",0.42129570453187887
group,1,10,post,3,32,clockwise,clockwise,correct,0.9884733590006363,ca,770,10,500,solo,0.5877258079999592,sg,2,2.506544063000547,6,"[(6, 0.0004849239994655363), (5, 0.49164689799999906), (4, 0.6834367849996852), (3, 1.627474918000189), (2, 1.8834170350000932), (2, 2.5075976010002705)]",0.4356907773562686
