StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,difficulty,easy_other,hard_other,influence,variety,worsen,improve,svo_1,svo_2,svo_3,svo_4,svo_5,svo_6,age,gender,vision,hand,id,svo_DO
"開始日",終了日,回答タイプ,IPアドレス,進行状況,時間（秒単位）,終了,記録日,回答ID,参加者の姓,参加者の名,参加者のメールアドレス,外部データ参照,位置の緯度,位置の経度,配信のチャンネル,ユーザーの言語,実験全体を通じて、傾き識別課題はどれくらい難しかったですか。,傾きの識別が簡単なとき、「以前同じ課題に取り組んだ人たちは正解しているだろう」とどれくらい思いましたか。,傾きの識別が難しいとき、「以前同じ課題に取り組んだ人たちは正解しているだろう」とどれくらい思いましたか。,「自分の投票が多数決の精度に影響を及ぼす」とどれくらい思いましたか。,「どのような人が投票するかで多数決の精度が変わる」とどれくらい思いましたか。,「自分が多数決に投票したら、多数決の精度が下がるだろう」とどれくらい思いましたか。,「自分が多数決に投票したら、多数決の精度が上がるだろう」とどれくらい思いましたか。,"あなたが受け取る金額（円）

|

|
相手が受け取る金額（円）","あなたが受け取る金額（円）

|

|

相手が受け取る金額（円）","あなたが受け取る金額（円）

|

|
相手が受け取る金額（円）","あなたが受け取る金額（円）

|

|
相手が受け取る金額（円）","あなたが受け取る金額（円）

|

|
相手が受け取る金額（円）","あなたが受け取る金額（円）

|

|
相手が受け取る金額（円）",あなたの年齢（下のリストから選んでください）,あなたの性別,この実験中、視力矯正をしていましたか？,利き手,id,svo - Display Order
"{""ImportId"":""startDate"",""timeZone"":""Asia/Seoul""}","{""ImportId"":""endDate"",""timeZone"":""Asia/Seoul""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Asia/Seoul""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID55""}","{""ImportId"":""QID88""}","{""ImportId"":""QID89""}","{""ImportId"":""QID92""}","{""ImportId"":""QID93""}","{""ImportId"":""QID90""}","{""ImportId"":""QID91""}","{""ImportId"":""QID104""}","{""ImportId"":""QID103""}","{""ImportId"":""QID97""}","{""ImportId"":""QID98""}","{""ImportId"":""QID99""}","{""ImportId"":""QID100""}","{""ImportId"":""QID48""}","{""ImportId"":""QID47""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51""}","{""ImportId"":""id""}","{""ImportId"":""BL_cZx2FfLYLfl3Q7X_DO""}"
2019-12-09 12:00:15,2019-12-09 12:03:26,0,157.82.122.136,100,191,1,2019-12-09 12:03:26,R_1QsChI5QTIis6Nf,,,,,35.688201904296875,139.753204345703125,anonymous,JA,5,7,3,3,5,2,2,1,9,9,1,1,9,25,1,2,2,1,inst|svo_3|svo_5|svo_6|svo_1|svo_2|svo_4
2019-12-09 13:25:31,2019-12-09 13:27:46,0,157.82.122.136,100,135,1,2019-12-09 13:27:47,R_1C7a6hWoiGfmw1K,,,,,35.688201904296875,139.753204345703125,anonymous,JA,5,7,5,6,5,6,3,1,9,9,5,5,9,24,2,2,2,2,inst|svo_1|svo_3|svo_6|svo_2|svo_5|svo_4
2019-12-09 13:30:01,2019-12-09 13:31:55,0,157.82.122.136,100,114,1,2019-12-09 13:31:55,R_2EzyAbCJtyoo2Qp,,,,,35.688201904296875,139.753204345703125,anonymous,JA,6,7,2,5,7,5,3,1,9,9,9,1,1,23,2,3,2,3,inst|svo_4|svo_6|svo_1|svo_3|svo_5|svo_2
2019-12-09 14:50:20,2019-12-09 14:52:40,0,157.82.122.136,100,140,1,2019-12-09 14:52:40,R_Ti7QNTTc3jgqj6h,,,,,35.688201904296875,139.753204345703125,anonymous,JA,6,6,3,3,5,6,3,1,9,9,5,4,9,24,1,3,2,4,inst|svo_4|svo_3|svo_1|svo_5|svo_2|svo_6
2019-12-09 14:58:45,2019-12-09 15:00:33,0,157.82.122.136,100,107,1,2019-12-09 15:00:33,R_3MK9jeMp7IUYt8c,,,,,35.688201904296875,139.753204345703125,anonymous,JA,6,6,3,3,5,1,1,9,9,9,9,1,1,22,1,1,2,5,inst|svo_3|svo_6|svo_5|svo_1|svo_4|svo_2
2019-12-09 16:29:24,2019-12-09 16:31:11,0,157.82.122.136,100,106,1,2019-12-09 16:31:11,R_22Suy4zdxkzPoBS,,,,,35.688201904296875,139.753204345703125,anonymous,JA,6,6,2,2,6,6,3,1,9,9,9,1,1,26,2,3,2,7,inst|svo_6|svo_5|svo_1|svo_3|svo_4|svo_2
2019-12-09 16:30:43,2019-12-09 16:33:55,0,157.82.122.136,100,192,1,2019-12-09 16:33:55,R_271k3b8smxXTyXp,,,,,35.688201904296875,139.753204345703125,anonymous,JA,5,7,2,3,2,3,3,1,9,9,4,5,9,20,2,3,2,6,inst|svo_4|svo_6|svo_5|svo_2|svo_3|svo_1
2019-12-09 17:58:18,2019-12-09 18:02:29,0,157.82.122.136,100,250,1,2019-12-09 18:02:29,R_eQJZTtkfSKIxVLz,,,,,35.688201904296875,139.753204345703125,anonymous,JA,5,7,2,3,3,2,2,1,9,9,5,5,8,23,1,2,2,9,inst|svo_1|svo_3|svo_5|svo_2|svo_6|svo_4
2019-12-09 18:03:18,2019-12-09 18:08:29,0,157.82.122.136,100,310,1,2019-12-09 18:08:29,R_1q8rFTySaTo8I8u,,,,,35.688201904296875,139.753204345703125,anonymous,JA,5,7,2,6,6,3,5,1,9,9,9,1,1,22,1,3,2,8,inst|svo_4|svo_5|svo_1|svo_6|svo_2|svo_3
2019-12-10 12:00:50,2019-12-10 12:03:31,0,157.82.122.136,100,160,1,2019-12-10 12:03:31,R_31m7vjtY6gTaIUp,,,,,35.688201904296875,139.753204345703125,anonymous,JA,5,6,3,3,5,3,3,1,9,9,5,5,9,22,2,2,2,10,inst|svo_2|svo_6|svo_1|svo_5|svo_4|svo_3
2019-12-10 12:17:12,2019-12-10 12:20:50,0,157.82.122.136,100,218,1,2019-12-10 12:20:51,R_2zNEUE7bIpx4Ilc,,,,,35.688201904296875,139.753204345703125,anonymous,JA,6,7,3,2,5,2,1,1,9,9,5,1,9,22,2,3,2,11,inst|svo_1|svo_5|svo_4|svo_2|svo_6|svo_3
2019-12-10 13:40:52,2019-12-10 13:43:34,0,157.82.122.136,100,161,1,2019-12-10 13:43:34,R_1CpRSRHdciei0cC,,,,,35.688201904296875,139.753204345703125,anonymous,JA,6,7,2,2,6,1,1,1,9,9,1,5,9,22,1,2,2,12,inst|svo_2|svo_3|svo_5|svo_6|svo_1|svo_4
2019-12-10 13:43:13,2019-12-10 13:46:47,0,157.82.122.136,100,213,1,2019-12-10 13:46:47,R_2fl0sP9hxH6p2M6,,,,,35.688201904296875,139.753204345703125,anonymous,JA,7,6,2,3,6,6,1,1,9,9,4,5,9,25,1,3,2,13,inst|svo_5|svo_3|svo_6|svo_4|svo_2|svo_1
2019-12-10 14:52:18,2019-12-10 14:53:55,0,157.82.122.136,100,96,1,2019-12-10 14:53:55,R_3J4p1JAKETpxfFe,,,,,35.688201904296875,139.753204345703125,anonymous,JA,3,7,1,1,1,1,1,1,9,9,7,4,5,24,2,3,2,14,inst|svo_4|svo_2|svo_3|svo_6|svo_1|svo_5
2019-12-10 14:58:22,2019-12-10 15:00:16,0,157.82.122.136,100,113,1,2019-12-10 15:00:16,R_1hQoDmsfcg6yWaU,,,,,35.688201904296875,139.753204345703125,anonymous,JA,5,6,3,1,6,1,1,1,9,9,5,5,9,23,2,2,2,15,inst|svo_4|svo_6|svo_1|svo_5|svo_2|svo_3
2019-12-10 16:24:28,2019-12-10 16:26:55,0,157.82.122.136,100,146,1,2019-12-10 16:26:55,R_1NqzE5mrRG7P9Ym,,,,,35.688201904296875,139.753204345703125,anonymous,JA,7,2,1,4,1,3,1,1,9,4,4,6,9,22,1,1,2,17,inst|svo_3|svo_6|svo_4|svo_2|svo_1|svo_5
2019-12-10 16:36:17,2019-12-10 16:39:05,0,157.82.122.136,100,168,1,2019-12-10 16:39:05,R_1pAHQ7HVRpaA6OF,,,,,35.688201904296875,139.753204345703125,anonymous,JA,5,6,3,2,6,2,3,1,9,9,5,5,9,26,1,2,2,16,inst|svo_1|svo_5|svo_2|svo_4|svo_3|svo_6
2019-12-10 17:59:35,2019-12-10 18:02:16,0,157.82.122.136,100,160,1,2019-12-10 18:02:16,R_10Mnk3Y5Dq4M013,,,,,35.688201904296875,139.753204345703125,anonymous,JA,7,3,2,2,7,2,1,1,9,9,9,1,1,28,2,3,2,18,inst|svo_5|svo_1|svo_2|svo_4|svo_6|svo_3
