item,self,other,value
svo_1,850,850,1
svo_1,850,760,2
svo_1,850,680,3
svo_1,850,590,4
svo_1,850,500,5
svo_1,850,410,6
svo_1,850,330,7
svo_1,850,240,8
svo_1,850,150,9
svo_2,850,150,1
svo_2,870,190,2
svo_2,890,240,3
svo_2,910,280,4
svo_2,930,330,5
svo_2,940,370,6
svo_2,960,410,7
svo_2,980,460,8
svo_2,1000,500,9
svo_3,500,1000,1
svo_3,540,980,2
svo_3,590,960,3
svo_3,630,940,4
svo_3,680,930,5
svo_3,720,910,6
svo_3,760,890,7
svo_3,810,870,8
svo_3,850,850,9
svo_4,500,1000,1
svo_4,540,890,2
svo_4,590,790,3
svo_4,630,680,4
svo_4,680,580,5
svo_4,720,470,6
svo_4,760,360,7
svo_4,810,260,8
svo_4,850,150,9
svo_5,1000,500,1
svo_5,940,560,2
svo_5,880,630,3
svo_5,810,690,4
svo_5,750,750,5
svo_5,690,810,6
svo_5,630,880,7
svo_5,560,940,8
svo_5,500,1000,9
svo_6,1000,500,1
svo_6,980,540,2
svo_6,960,590,3
svo_6,940,630,4
svo_6,930,680,5
svo_6,910,720,6
svo_6,890,760,7
svo_6,870,810,8
svo_6,850,850,9
