task,id,trial,ori_mean,ori_var,judge,answer,result,judge_rt,line_pos,payoff_sure,payoff_risky,payoff_jitter,choice,choice_rt,option_pos,rating,rating_rt,rating_init,rating_history,iti
solo,35,1,-3,32,anticlockwise,anticlockwise,correct,1.2811216930003866,ca,500,1400,10,sure,0.900305741000011,rs,2.0,1.3828844459999345,2,"[(2, 0.00035706000016944017), (2, 1.3837672209997436)]",0.513056784903355
solo,35,2,3,8,clockwise,clockwise,correct,1.2208772449998833,ac,500,550,0,sure,1.035675308000009,sr,4.0,1.640868144000251,2,"[(2, 0.0004890860000159591), (3, 0.42594155599999795), (4, 0.8736784279999483), (4, 1.641640038999867)]",0.541564076985862
solo,35,3,3,64,clockwise,clockwise,correct,2.415530568000122,ac,500,850,0,risky,1.0461596780000946,sr,5.0,1.777635415000077,2,"[(2, 0.0004740680001305009), (3, 0.5786254579998058), (4, 0.978660667999975), (5, 1.4585815979999097), (5, 1.7785489939997206)]",0.44330730423356607
solo,35,4,-3,8,clockwise,anticlockwise,wrong,2.8377568099999735,ac,500,640,0,sure,0.9705281030001061,rs,2.0,3.5140891699998065,6,"[(6, 0.00047939900014171144), (5, 0.5230542289996265), (4, 0.8748262689996409), (3, 1.1789389209998262), (2, 2.939231455999561), (2, 3.514925533999758)]",0.4206203107636608
solo,35,5,-3,16,anticlockwise,anticlockwise,correct,1.49148472700017,ac,500,550,0,sure,1.0392487260000962,rs,3.0,1.4518826029998309,5,"[(5, 0.00048233699999400415), (4, 0.5729694619999464), (3, 1.052846038000098), (3, 1.4527298970001539)]",0.5322433966850371
solo,35,6,3,32,clockwise,clockwise,correct,1.1778253789998416,ca,500,1150,-10,risky,0.8334614980003607,rs,4.0,1.4624369600001046,2,"[(2, 0.00047544299968649284), (3, 0.5513513589999093), (4, 0.9674723480002285), (4, 1.4633471900001496)]",0.4642810228327052
solo,35,7,-3,64,clockwise,anticlockwise,wrong,1.990408968000338,ca,500,700,10,sure,0.7983510690000912,sr,1.0,1.5394143270000313,2,"[(2, 0.00048061999996207305), (1, 0.6283797589999267), (1, 1.5403357250002045)]",0.4006134104223733
solo,35,8,3,16,clockwise,clockwise,correct,1.6472403269999631,ac,500,770,-10,sure,1.1883240709998972,sr,5.0,2.8425341880001724,5,"[(5, 0.0004892459996881371), (5, 2.843582276000234)]",0.471146934113984
solo,35,9,3,8,clockwise,clockwise,correct,0.9722901579998506,ac,500,1540,-10,risky,0.9081745690000389,sr,6.0,4.414137109999956,2,"[(2, 0.0005081760000393842), (3, 0.5589597580001282), (4, 1.0871817420002117), (5, 1.7430977839999287), (6, 3.2470487119999234), (5, 3.7111195779998525), (6, 4.095155529999829), (6, 4.415110239000114)]",0.5892504127240525
solo,35,10,-3,16,anticlockwise,anticlockwise,correct,1.7647933769999327,ca,500,590,10,sure,0.9165227100002085,rs,2.0,2.469639575999736,6,"[(6, 0.0004911480000373558), (5, 0.4546920720003982), (4, 0.7105522990000281), (3, 0.9826569010001549), (2, 1.2865612190003048), (1, 1.574607154000205), (2, 2.2465830400001323), (2, 2.470427657000073)]",0.510779191191461
solo,35,11,3,32,clockwise,clockwise,correct,1.052061927000068,ca,500,1270,0,risky,0.7773913050000374,rs,4.0,1.1685149449999699,6,"[(6, 0.0005290439999043883), (5, 0.4496412819999023), (4, 0.7853620079999928), (4, 1.1694605809998393)]",0.45552467920672934
solo,35,12,-3,64,clockwise,anticlockwise,wrong,1.7686295369999243,ca,500,1400,0,risky,1.352777633000187,sr,3.0,3.4655472549998194,5,"[(5, 0.00048041199988801964), (6, 0.2504960569999639), (5, 0.5544817209997746), (4, 0.8104250119999961), (3, 1.6423743169998488), (3, 3.466373583999939)]",0.4933667212615483
solo,35,13,3,16,clockwise,clockwise,correct,2.1945129639998413,ca,500,590,-10,sure,0.9936074389997884,rs,2.0,2.3193315319999783,2,"[(2, 0.00047690400015198975), (1, 1.1525287539998317), (2, 1.5202767799996764), (2, 2.3199772389998543)]",0.5832680617340935
solo,35,14,3,64,clockwise,clockwise,correct,1.1903732810001202,ac,500,550,0,sure,0.7018792500002746,rs,1.0,1.3521568030000708,5,"[(5, 0.0004802769999514567), (4, 0.42523803799986126), (3, 0.6649154159999853), (2, 0.8729944219999197), (1, 1.1128680329998133), (1, 1.3529425149999952)]",0.5790564657918221
solo,35,15,-3,32,anticlockwise,anticlockwise,correct,1.0520290360000217,ca,500,940,0,sure,1.2407555459999458,sr,2.0,1.6139902889999576,6,"[(6, 0.0004698990001088532), (5, 0.36701776600011726), (4, 0.6710056240003723), (3, 0.9590086860002884), (2, 1.2310681150001983), (2, 1.6149816310003189)]",0.42700268483220527
solo,35,16,-3,8,anticlockwise,anticlockwise,correct,1.927468638999926,ca,500,550,-10,sure,1.184847761999663,rs,3.0,1.5757716429998254,5,"[(5, 0.0005766959998254606), (4, 0.45661357500011945), (3, 0.7927440100002059), (3, 1.5765141299998504)]",0.4201431460141999
