task,id,trial,order,ori
solo,49,1,1,-19.46503079522308
solo,49,1,2,-23.412561978783614
solo,49,1,3,14.921440651587119
solo,49,1,4,-27.348314044745045
solo,49,1,5,-13.81233339832346
solo,49,1,6,-21.999525257713508
solo,49,1,7,-11.086279600218433
solo,49,1,8,27.276800109303338
solo,49,1,9,-7.4532894066053075
solo,49,1,10,1.0449551010351144
solo,49,1,11,-20.00004468741907
solo,49,1,12,-10.564279426234158
solo,49,1,13,25.47318453704535
solo,49,1,14,-33.553779240571295
solo,49,1,15,1.402260600489619
solo,49,1,16,18.132565238521046
solo,49,1,17,6.776405500471199
solo,49,1,18,17.170828762564113
solo,49,1,19,-26.505480856304985
solo,49,1,20,20.94079547850299
solo,49,1,21,7.421614188817735
solo,49,1,22,-17.023982622995497
solo,49,1,23,-9.001490039162995
solo,49,1,24,18.517313524111863
solo,49,1,25,-17.683396722156246
solo,49,1,26,-16.784944047602515
solo,49,1,27,-6.355832393524729
solo,49,1,28,20.29280982753089
solo,49,1,29,12.389358221650767
solo,49,1,30,0.29023277595278785
solo,49,2,1,10.059135795112095
solo,49,2,2,-10.723534384391172
solo,49,2,3,-5.621496003484097
solo,49,2,4,-5.247120368604673
solo,49,2,5,-10.100399235669567
solo,49,2,6,2.0499861215848583
solo,49,2,7,-2.3176438832223383
solo,49,2,8,6.784658657173193
solo,49,2,9,-4.560618720680438
solo,49,2,10,-0.7736604880151852
solo,49,2,11,17.511417426940053
solo,49,2,12,-1.9823472760182739
solo,49,2,13,7.081706052733441
solo,49,2,14,4.721513386128592
solo,49,2,15,-9.127658112558642
solo,49,2,16,11.798357006195872
solo,49,2,17,-5.079207442277632
solo,49,2,18,11.068890454060313
solo,49,2,19,14.456211386956497
solo,49,2,20,9.73362124824396
solo,49,2,21,0.10927490909429949
solo,49,2,22,2.0606836043111407
solo,49,2,23,-9.876143844104107
solo,49,2,24,1.8711381375103464
solo,49,2,25,16.543383324010378
solo,49,2,26,0.6930544976974673
solo,49,2,27,11.415741594533827
solo,49,2,28,9.883609757556783
solo,49,2,29,2.9648150580094956
solo,49,2,30,14.602631341173517
solo,49,3,1,0.6575943315703032
solo,49,3,2,-1.7325285816081557
solo,49,3,3,3.971271714897716
solo,49,3,4,-0.4787380668898429
solo,49,3,5,3.8737144395317245
solo,49,3,6,-3.891081178441615
solo,49,3,7,-10.513596122621362
solo,49,3,8,-3.6538753177002103
solo,49,3,9,-3.300979050088168
solo,49,3,10,-5.446421347608345
solo,49,3,11,2.653973074403373
solo,49,3,12,-10.913066450216627
solo,49,3,13,-2.777720838540194
solo,49,3,14,-8.348394089660657
solo,49,3,15,3.0736386440522523
solo,49,3,16,-10.885213873584963
solo,49,3,17,-3.4705508386385553
solo,49,3,18,-8.37482434488235
solo,49,3,19,-0.05832020022478801
solo,49,3,20,2.147996637251504
solo,49,3,21,-7.660721987807278
solo,49,3,22,-1.3127832039782295
solo,49,3,23,-1.5832672112633457
solo,49,3,24,-7.2156722423359
solo,49,3,25,-0.6085101449288022
solo,49,3,26,-2.0136440093814105
solo,49,3,27,-1.6153989925906007
solo,49,3,28,-0.1640606424424682
solo,49,3,29,-10.86190413598879
solo,49,3,30,0.5030840297158043
solo,49,4,1,3.2706704711494154
solo,49,4,2,0.8946339353284252
solo,49,4,3,-0.2488681941799875
solo,49,4,4,5.93202376855977
solo,49,4,5,6.816940277143326
solo,49,4,6,10.554199273076202
solo,49,4,7,9.102901211752796
solo,49,4,8,4.6095288469333795
solo,49,4,9,-1.7163979913306573
solo,49,4,10,1.8944310071029005
solo,49,4,11,-3.853742210162226
solo,49,4,12,1.0335785453949757
solo,49,4,13,3.5168045179557392
solo,49,4,14,10.857410296075908
solo,49,4,15,4.559433814508608
solo,49,4,16,-0.4100365920900888
solo,49,4,17,3.161826590886358
solo,49,4,18,3.2019062319808835
solo,49,4,19,5.934866453803217
solo,49,4,20,8.009369864006569
solo,49,4,21,9.999658278564226
solo,49,4,22,2.0590418100637535
solo,49,4,23,-4.760522388778076
solo,49,4,24,-4.658868291974137
solo,49,4,25,-0.2512066589120483
solo,49,4,26,3.399510940944923
solo,49,4,27,6.892040447452372
solo,49,4,28,7.948366073295167
solo,49,4,29,-3.9427022603307194
solo,49,4,30,-3.8067980682209743
solo,49,5,1,-0.27888532568227475
solo,49,5,2,-11.768088643563761
solo,49,5,3,0.1308730965786502
solo,49,5,4,-2.1860939440857905
solo,49,5,5,-9.2582458560324
solo,49,5,6,11.3502746017097
solo,49,5,7,-11.091387806520611
solo,49,5,8,-9.640809128395283
solo,49,5,9,11.20587931455675
solo,49,5,10,11.433302828721956
solo,49,5,11,-3.311930796856835
solo,49,5,12,10.812068140120275
solo,49,5,13,-13.613772456512901
solo,49,5,14,-18.32577066651715
solo,49,5,15,0.34718667701951134
solo,49,5,16,-2.5333792062594647
solo,49,5,17,-0.3775872453995248
solo,49,5,18,-11.26852270211863
solo,49,5,19,-10.148831080057757
solo,49,5,20,6.05454872743945
solo,49,5,21,12.107230271570145
solo,49,5,22,-11.016757170329104
solo,49,5,23,-1.6597490688889458
solo,49,5,24,-10.237164117474588
solo,49,5,25,5.788129545776034
solo,49,5,26,-9.427881072671784
solo,49,5,27,7.066448716588642
solo,49,5,28,-6.12071622672417
solo,49,5,29,-14.301728888755193
solo,49,5,30,-9.72864051723494
solo,49,6,1,59.55345704659784
solo,49,6,2,-6.769448597975142
solo,49,6,3,-4.791892250632316
solo,49,6,4,30.202473369077907
solo,49,6,5,22.954672634863456
solo,49,6,6,-40.031359107235005
solo,49,6,7,-6.780958574556678
solo,49,6,8,-15.559594084788884
solo,49,6,9,-13.889330403033455
solo,49,6,10,6.014886711613997
solo,49,6,11,-26.165562847045337
solo,49,6,12,-8.34695586197742
solo,49,6,13,7.809136482500449
solo,49,6,14,39.79974704662446
solo,49,6,15,4.736977324990349
solo,49,6,16,-49.980578885864304
solo,49,6,17,-28.318003079668898
solo,49,6,18,-17.43971069100705
solo,49,6,19,-1.7800059099114947
solo,49,6,20,-47.88957542489244
solo,49,6,21,21.565582922890982
solo,49,6,22,57.972887073092664
solo,49,6,23,-49.90137820443765
solo,49,6,24,39.65853018294818
solo,49,6,25,-23.128457710509196
solo,49,6,26,60.863027141121336
solo,49,6,27,59.825159064869666
solo,49,6,28,8.298418853010489
solo,49,6,29,19.211894610523714
solo,49,6,30,-7.694038831190269
solo,49,7,1,-28.26842017111168
solo,49,7,2,8.075302640145793
solo,49,7,3,17.83838630358516
solo,49,7,4,13.71042022677473
solo,49,7,5,-9.187145835333702
solo,49,7,6,-7.290635897807661
solo,49,7,7,-3.248958187573514
solo,49,7,8,34.310666181239874
solo,49,7,9,23.019070674985727
solo,49,7,10,28.958817891590684
solo,49,7,11,-6.29559727673206
solo,49,7,12,-7.66068562179494
solo,49,7,13,24.357636463018345
solo,49,7,14,12.791200667494884
solo,49,7,15,18.91668211350305
solo,49,7,16,18.78653194400875
solo,49,7,17,16.498493649177902
solo,49,7,18,-19.710342273029354
solo,49,7,19,22.750137825825036
solo,49,7,20,19.18257548293436
solo,49,7,21,-8.967467572612051
solo,49,7,22,-4.091997747515208
solo,49,7,23,-19.621420011289167
solo,49,7,24,-27.511908059448153
solo,49,7,25,25.173415378978007
solo,49,7,26,-11.86675962127888
solo,49,7,27,14.459229068538967
solo,49,7,28,-17.55474430230651
solo,49,7,29,-18.564339679702613
solo,49,7,30,-18.988144254265762
