task,id,trial,order,ori
solo_prac,49,1,1,1.1935737118358904
solo_prac,49,1,2,-4.078385186747566
solo_prac,49,1,3,5.2685452335262895
solo_prac,49,1,4,5.194444521339767
solo_prac,49,1,5,10.033920972560203
solo_prac,49,1,6,10.808347393591461
solo_prac,49,1,7,8.624702000320683
solo_prac,49,1,8,5.795695629730897
solo_prac,49,1,9,-3.5846399623909218
solo_prac,49,1,10,4.016903503712843
solo_prac,49,1,11,4.393594074930631
solo_prac,49,1,12,7.574489941071615
solo_prac,49,1,13,-3.1928791592969805
solo_prac,49,1,14,7.654313383342053
solo_prac,49,1,15,-1.6676292864885731
solo_prac,49,1,16,1.5548041573893077
solo_prac,49,1,17,-2.763103124939672
solo_prac,49,1,18,-3.9497485613559196
solo_prac,49,1,19,4.39462988837793
solo_prac,49,1,20,7.6965575331300045
solo_prac,49,1,21,-0.06293363098216176
solo_prac,49,1,22,-3.1347272700650546
solo_prac,49,1,23,10.76344080795768
solo_prac,49,1,24,6.962011589458317
solo_prac,49,1,25,-2.0567468313669917
solo_prac,49,1,26,7.8371672775995815
solo_prac,49,1,27,0.892708619967868
solo_prac,49,1,28,-3.363413797720085
solo_prac,49,1,29,5.691538516785727
solo_prac,49,1,30,1.5028180547251573
solo_prac,49,2,1,-6.100129092253088
solo_prac,49,2,2,8.146907673536393
solo_prac,49,2,3,8.20873223152843
solo_prac,49,2,4,-5.798660486780349
solo_prac,49,2,5,-15.581981006806508
solo_prac,49,2,6,6.427777680946175
solo_prac,49,2,7,-12.129801633638689
solo_prac,49,2,8,-2.2727616415254914
solo_prac,49,2,9,10.385265720843261
solo_prac,49,2,10,-17.787080098024422
solo_prac,49,2,11,4.786583938217532
solo_prac,49,2,12,-9.440912161720036
solo_prac,49,2,13,-11.622861926198631
solo_prac,49,2,14,-10.87755294494745
solo_prac,49,2,15,-16.09373311597494
solo_prac,49,2,16,0.15793121753942074
solo_prac,49,2,17,-13.246631300631265
solo_prac,49,2,18,4.972445089366289
solo_prac,49,2,19,9.276162244023507
solo_prac,49,2,20,3.4398924373386137
solo_prac,49,2,21,-3.3264392973173074
solo_prac,49,2,22,-13.093757170497746
solo_prac,49,2,23,-3.314496653762461
solo_prac,49,2,24,3.255974344186484
solo_prac,49,2,25,-3.1515945621264336
solo_prac,49,2,26,0.33059433899761004
solo_prac,49,2,27,-10.679743251008833
